Reading records: 973ms
KD-tree:
Element 172 of 20000, Depth 12, Axis 0: lon=-55.95, lat=-26.16
Element 173 of 20000, Depth 13, Axis 1: lon=-55.83, lat=-26.84
Element 174 of 20000, Depth 14, Axis 0: lon=-54.74, lat=-25.37
Element 175 of 20000, Depth 9, Axis 1: lon=-57.57, lat=-25.29
Element 176 of 20000, Depth 13, Axis 1: lon=-68.79, lat=-23.50
Element 177 of 20000, Depth 12, Axis 0: lon=-64.92, lat=-24.58
Element 178 of 20000, Depth 13, Axis 1: lon=-58.99, lat=-23.72
Element 179 of 20000, Depth 14, Axis 0: lon=-58.45, lat=-23.45
Element 180 of 20000, Depth 11, Axis 1: lon=-61.00, lat=-21.00
Element 181 of 20000, Depth 13, Axis 1: lon=-69.71, lat=-18.36
Element 182 of 20000, Depth 12, Axis 0: lon=-69.41, lat=-20.28
Element 183 of 20000, Depth 13, Axis 1: lon=-64.13, lat=-16.28
Element 184 of 20000, Depth 14, Axis 0: lon=-63.41, lat=-10.83
Element 185 of 20000, Depth 10, Axis 0: lon=-57.62, lat=-25.29
Element 186 of 20000, Depth 13, Axis 1: lon=-57.60, lat=-25.28
Element 187 of 20000, Depth 12, Axis 0: lon=-56.94, lat=-25.25
Element 188 of 20000, Depth 13, Axis 1: lon=-55.83, lat=-25.09
Element 189 of 20000, Depth 14, Axis 0: lon=-56.71, lat=-24.16
Element 190 of 20000, Depth 11, Axis 1: lon=-55.25, lat=-24.15
Element 191 of 20000, Depth 13, Axis 1: lon=-57.27, lat=-22.79
Element 192 of 20000, Depth 12, Axis 0: lon=-56.00, lat=-15.42
Element 193 of 20000, Depth 13, Axis 1: lon=-54.79, lat=-20.62
Element 194 of 20000, Depth 14, Axis 0: lon=-55.36, lat=-12.69
Element 195 of 20000, Depth 8, Axis 0: lon=-51.99, lat=-28.19
Element 196 of 20000, Depth 13, Axis 1: lon=-51.19, lat=-30.10
Element 197 of 20000, Depth 12, Axis 0: lon=-49.75, lat=-27.69
Element 198 of 20000, Depth 13, Axis 1: lon=-48.52, lat=-27.61
Element 199 of 20000, Depth 11, Axis 1: lon=-49.28, lat=-25.50
Element 200 of 20000, Depth 13, Axis 1: lon=-51.96, lat=-23.41
Element 201 of 20000, Depth 12, Axis 0: lon=-51.81, lat=-24.62
Element 202 of 20000, Depth 13, Axis 1: lon=-51.12, lat=-23.48
Element 203 of 20000, Depth 14, Axis 0: lon=-49.08, lat=-22.63
Element 204 of 20000, Depth 10, Axis 0: lon=-46.99, lat=-22.90
Element 205 of 20000, Depth 13, Axis 1: lon=-46.72, lat=-23.68
Element 206 of 20000, Depth 12, Axis 0: lon=-46.29, lat=-23.86
Element 207 of 20000, Depth 13, Axis 1: lon=-27.25, lat=-59.45
Element 208 of 20000, Depth 14, Axis 0: lon=-36.62, lat=-54.43
Element 209 of 20000, Depth 11, Axis 1: lon=-46.64, lat=-23.57
Element 210 of 20000, Depth 13, Axis 1: lon=-46.46, lat=-23.39
Element 211 of 20000, Depth 12, Axis 0: lon=-43.46, lat=-22.94
Element 212 of 20000, Depth 13, Axis 1: lon=-43.04, lat=-22.92
Element 213 of 20000, Depth 14, Axis 0: lon=-42.57, lat=-22.22
Element 214 of 20000, Depth 9, Axis 1: lon=-44.96, lat=-20.11
Element 215 of 20000, Depth 13, Axis 1: lon=-48.28, lat=-18.92
Element 216 of 20000, Depth 12, Axis 0: lon=-47.89, lat=-19.61
Element 217 of 20000, Depth 13, Axis 1: lon=-44.20, lat=-19.94
Element 218 of 20000, Depth 14, Axis 0: lon=-45.42, lat=-19.86
Element 219 of 20000, Depth 11, Axis 1: lon=-45.19, lat=-18.58
Element 220 of 20000, Depth 13, Axis 1: lon=-50.26, lat=-15.95
Element 221 of 20000, Depth 12, Axis 0: lon=-49.62, lat=-14.30
Element 222 of 20000, Depth 13, Axis 1: lon=-49.27, lat=-16.64
Element 223 of 20000, Depth 14, Axis 0: lon=-48.43, lat=-9.32
Element 224 of 20000, Depth 10, Axis 0: lon=-44.09, lat=-19.89
