Reading records: 247ms
Depth 9, Axis 1: lon=-66.416667, lat=10.250000
Depth 10, Axis 0: lon=-67.166667, lat=10.000000
Depth 11, Axis 1: lon=-68.833333, lat=7.166667
Depth 12, Axis 0: lon=-69.189137, lat=2.607714
Depth 13, Axis 1: lon=-69.500009, lat=5.000008
Depth 14, Axis 0: lon=-69.467504, lat=4.528775
Depth 13, Axis 1: lon=-69.000009, lat=2.500008
Depth 12, Axis 0: lon=-68.333333, lat=9.333333
Depth 13, Axis 1: lon=-69.819798, lat=10.228452
Depth 14, Axis 0: lon=-69.250000, lat=9.166667
Depth 13, Axis 1: lon=-68.083333, lat=10.166667
Depth 11, Axis 1: lon=-61.806328, lat=8.613039
Depth 12, Axis 0: lon=-63.432780, lat=-3.783735
Depth 13, Axis 1: lon=-65.522442, lat=6.681952
Depth 14, Axis 0: lon=-63.500000, lat=6.333333
Depth 13, Axis 1: lon=-61.198904, lat=1.845000
Depth 12, Axis 0: lon=-63.000000, lat=9.333333
Depth 13, Axis 1: lon=-64.500000, lat=9.000000
Depth 14, Axis 0: lon=-66.583333, lat=8.666667
Depth 13, Axis 1: lon=-61.564811, lat=8.628210
Depth 10, Axis 0: lon=-66.898243, lat=10.610543
Depth 11, Axis 1: lon=-66.990390, lat=10.548732
Depth 12, Axis 0: lon=-66.942679, lat=10.517443
Depth 13, Axis 1: lon=-66.970422, lat=10.474938
Depth 14, Axis 0: lon=-68.750000, lat=10.333333
Depth 13, Axis 1: lon=-66.914721, lat=10.505349
Depth 12, Axis 0: lon=-68.290968, lat=12.167000
Depth 13, Axis 1: lon=-68.964092, lat=12.184500
Depth 14, Axis 0: lon=-69.833333, lat=11.000000
Depth 13, Axis 1: lon=-66.992292, lat=10.566489
Depth 11, Axis 1: lon=-64.000000, lat=11.000000
Depth 12, Axis 0: lon=-63.500000, lat=10.416667
Depth 13, Axis 1: lon=-66.476399, lat=10.318765
Depth 14, Axis 0: lon=-66.659857, lat=10.302115
Depth 13, Axis 1: lon=-61.155427, lat=10.727227
Depth 12, Axis 0: lon=-61.212174, lat=13.048000
Depth 13, Axis 1: lon=-61.645243, lat=12.191000
Depth 13, Axis 1: lon=-61.070648, lat=14.649226
Depth 9, Axis 1: lon=-58.153124, lat=5.565521
Depth 10, Axis 0: lon=-52.320246, lat=4.921139
